gameType,accuracy,score,completionTime,attempts,incorrectAttempts,correctAnswers,completionRate,previousDifficulty,recommendedDifficulty
object_recognition,0.9,200,18.2,7,0,7,1.0,medium,hard
memory_match,0.68,112,41.1,9,2,7,0.83,easy,medium
memory_match,0.74,126,30.5,8,1,7,0.97,hard,medium
daily_routine_recall,0.71,100,54.2,9,2,7,0.81,medium,medium
object_recognition,0.83,200,17.0,4,0,4,1.0,hard,hard
pattern_recognition,0.41,16,79.7,13,6,7,0.8,medium,easy
object_recognition,0.63,116,34.9,7,1,6,0.96,easy,medium
object_recognition,0.44,17,50.3,15,5,10,0.4,hard,easy
pattern_recognition,0.97,200,12.1,7,0,7,1.0,hard,medium
memory_match,0.84,200,19.3,5,0,5,1.0,easy,hard
object_recognition,0.49,19,79.5,14,4,10,0.43,easy,easy
daily_routine_recall,0.63,122,29.0,9,2,7,0.91,easy,medium
object_recognition,0.62,112,38.4,7,2,5,0.95,medium,medium
memory_match,0.27,10,81.7,14,3,11,0.55,medium,easy
memory_match,0.25,10,102.9,12,6,6,0.71,medium,easy
memory_match,0.5,20,77.4,17,6,11,0.66,easy,easy
memory_match,0.48,19,73.1,12,5,7,0.53,hard,easy
object_recognition,0.34,13,87.0,12,4,8,0.56,hard,easy
pattern_recognition,1.0,200,25.1,5,0,5,1.0,medium,hard
daily_routine_recall,0.85,200,19.1,5,0,5,1.0,easy,hard
memory_match,0.64,118,33.6,6,1,5,0.82,easy,medium
memory_match,0.9,200,20.3,8,2,6,1.0,medium,hard
object_recognition,0.98,200,24.4,8,2,6,1.0,medium,hard
pattern_recognition,0.96,200,16.4,6,0,6,1.0,easy,hard
memory_match,0.51,20,91.7,12,5,7,0.53,hard,easy
object_recognition,0.77,127,30.6,8,1,7,0.84,hard,medium
daily_routine_recall,0.76,117,40.9,11,2,9,0.9,easy,medium
memory_match,0.81,125,34.6,8,2,6,0.89,medium,hard
object_recognition,0.41,16,80.7,14,4,10,0.71,hard,easy
daily_routine_recall,0.82,200,13.5,4,0,4,1.0,hard,hard
object_recognition,0.92,200,21.8,5,0,5,1.0,medium,hard
daily_routine_recall,0.24,10,100.3,15,6,9,0.58,easy,easy
object_recognition,0.81,105,54.7,8,1,7,0.81,easy,medium
object_recognition,0.48,19,82.3,15,7,8,0.76,medium,easy
daily_routine_recall,0.64,122,29.9,10,1,9,0.85,easy,medium
daily_routine_recall,0.74,104,52.2,7,1,6,0.88,medium,medium
daily_routine_recall,0.51,20,73.5,15,5,10,0.54,hard,easy
pattern_recognition,0.48,19,77.7,9,3,6,0.8,easy,easy
object_recognition,0.35,14,80.3,13,5,8,0.59,hard,easy
object_recognition,0.33,13,92.5,13,4,9,0.76,medium,easy
pattern_recognition,0.92,200,23.3,8,1,7,1.0,medium,hard
daily_routine_recall,1.0,200,28.8,7,1,6,1.0,medium,hard
object_recognition,0.95,200,10.8,5,0,5,1.0,hard,hard
object_recognition,0.71,107,47.6,10,1,9,0.82,medium,medium
memory_match,0.52,20,53.3,17,7,10,0.62,hard,easy
pattern_recognition,0.36,14,95.2,13,5,8,0.71,easy,easy
daily_routine_recall,0.91,200,16.3,6,0,6,1.0,hard,hard
daily_routine_recall,0.56,22,67.3,15,4,11,0.68,easy,easy
daily_routine_recall,0.8,130,29.2,6,1,5,0.8,easy,hard
pattern_recognition,0.53,21,105.6,15,6,9,0.76,medium,easy
daily_routine_recall,0.21,10,87.3,12,3,9,0.57,hard,easy
object_recognition,0.23,10,50.0,14,3,11,0.81,easy,easy
object_recognition,0.63,118,32.1,9,1,8,0.82,medium,medium
memory_match,0.8,108,51.1,11,2,9,0.88,medium,hard
memory_match,0.76,126,31.2,8,2,6,0.87,medium,medium
memory_match,0.35,14,79.9,16,5,11,0.56,easy,easy
daily_routine_recall,0.33,13,92.9,11,3,8,0.41,easy,easy
object_recognition,0.98,200,16.2,7,0,7,1.0,hard,hard
pattern_recognition,0.69,101,52.4,8,1,7,0.93,hard,medium
object_recognition,0.8,190,26.6,7,0,7,1.0,medium,hard
daily_routine_recall,0.89,200,23.9,7,1,6,1.0,hard,hard
memory_match,1.0,200,22.6,4,0,4,1.0,easy,hard
memory_match,0.35,14,72.7,16,5,11,0.49,easy,easy
memory_match,0.27,10,47.4,12,5,7,0.53,easy,easy
object_recognition,0.47,18,79.3,12,6,6,0.58,medium,easy
daily_routine_recall,0.72,126,29.7,10,1,9,0.82,hard,medium
pattern_recognition,0.95,200,16.8,6,1,5,1.0,medium,hard
pattern_recognition,0.36,14,46.7,13,6,7,0.79,medium,easy
pattern_recognition,0.36,14,80.9,13,5,8,0.63,medium,easy
pattern_recognition,0.92,200,18.5,6,0,6,1.0,medium,hard
daily_routine_recall,0.45,18,60.5,12,4,8,0.51,medium,easy
daily_routine_recall,0.76,107,50.7,11,3,8,0.99,hard,medium
object_recognition,0.25,10,71.4,11,4,7,0.44,medium,easy
object_recognition,0.65,126,25.8,9,1,8,0.93,hard,medium
memory_match,0.47,18,104.2,16,7,9,0.55,easy,easy
memory_match,0.78,123,35.9,9,1,8,0.92,hard,hard
pattern_recognition,0.88,200,23.8,7,0,7,1.0,medium,hard
daily_routine_recall,0.84,178,34.4,5,1,4,1.0,easy,hard
object_recognition,0.79,119,39.6,8,3,5,0.9,easy,medium
daily_routine_recall,0.9,195,28.5,4,0,4,1.0,medium,hard
pattern_recognition,0.66,123,29.2,11,3,8,0.83,medium,medium
daily_routine_recall,0.8,114,45.7,8,2,6,0.91,hard,hard
memory_match,0.51,20,77.4,10,4,6,0.58,medium,easy
daily_routine_recall,0.71,108,46.6,10,1,9,0.85,easy,medium
memory_match,0.85,191,28.3,4,0,4,1.0,hard,hard
memory_match,0.93,200,14.4,7,2,5,1.0,easy,hard
object_recognition,0.69,105,48.1,8,2,6,0.83,hard,medium
pattern_recognition,0.95,200,12.1,5,0,5,1.0,medium,hard
daily_routine_recall,0.81,182,30.9,7,0,7,1.0,medium,hard
memory_match,0.94,200,17.4,5,0,5,1.0,hard,hard
pattern_recognition,0.88,182,33.9,7,0,7,1.0,medium,medium
memory_match,0.28,11,47.0,14,6,8,0.67,easy,easy
memory_match,0.22,10,77.3,15,7,8,0.55,hard,easy
daily_routine_recall,0.95,200,12.7,4,0,4,1.0,hard,hard
object_recognition,0.36,14,90.8,10,4,6,0.51,medium,easy
pattern_recognition,0.51,20,97.0,14,6,8,0.52,medium,easy
pattern_recognition,0.73,120,35.8,8,1,7,0.99,easy,medium
object_recognition,0.96,200,27.3,7,0,7,1.0,medium,hard
memory_match,0.91,188,31.8,5,1,4,1.0,medium,hard
object_recognition,0.77,111,46.7,7,2,5,0.98,easy,medium
daily_routine_recall,0.93,199,27.3,5,0,5,1.0,medium,hard
object_recognition,0.61,103,46.2,9,3,6,0.91,medium,medium
pattern_recognition,0.8,134,26.0,7,2,5,0.84,hard,hard
object_recognition,0.63,113,37.7,10,2,8,0.97,easy,medium
object_recognition,0.86,186,30.7,6,0,6,1.0,medium,hard
pattern_recognition,0.34,13,81.4,14,7,7,0.8,medium,easy
daily_routine_recall,0.72,117,38.2,7,2,5,0.91,easy,medium
object_recognition,0.93,197,28.4,4,0,4,1.0,easy,hard
pattern_recognition,0.74,125,32.0,7,1,6,1.0,easy,medium
daily_routine_recall,0.8,200,14.6,7,0,7,1.0,medium,hard
memory_match,0.96,186,34.9,5,0,5,1.0,medium,hard
object_recognition,0.82,200,10.9,7,0,7,1.0,medium,hard
object_recognition,0.53,21,109.0,15,4,11,0.59,hard,easy
pattern_recognition,0.88,193,28.4,6,0,6,1.0,hard,hard
pattern_recognition,0.38,15,64.3,13,4,9,0.72,hard,easy
memory_match,0.92,200,16.9,8,2,6,1.0,hard,hard
object_recognition,0.89,200,19.6,7,0,7,1.0,easy,hard
memory_match,0.81,111,48.9,9,1,8,0.88,easy,hard
daily_routine_recall,0.79,105,53.3,11,2,9,1.0,medium,hard
pattern_recognition,0.76,131,26.9,11,2,9,0.93,hard,medium
pattern_recognition,0.43,17,78.3,12,4,8,0.48,easy,easy
object_recognition,0.84,200,14.7,6,1,5,1.0,hard,hard
pattern_recognition,0.78,115,43.9,6,1,5,0.99,easy,hard
object_recognition,1.0,200,14.3,5,0,5,1.0,medium,medium
daily_routine_recall,0.9,182,34.9,7,1,6,1.0,hard,hard
object_recognition,0.84,200,15.6,4,0,4,1.0,medium,hard
object_recognition,0.8,109,50.8,9,2,7,0.85,hard,medium
daily_routine_recall,0.7,128,26.3,9,3,6,0.96,easy,medium
memory_match,0.74,115,41.5,9,1,8,0.87,easy,medium
daily_routine_recall,0.66,106,46.7,11,2,9,0.84,hard,hard
object_recognition,0.46,18,49.9,10,3,7,0.62,medium,easy
memory_match,0.9,200,24.8,8,1,7,1.0,hard,hard
daily_routine_recall,0.93,200,23.6,5,1,4,1.0,easy,hard
pattern_recognition,0.53,21,96.8,12,6,6,0.47,hard,easy
pattern_recognition,0.26,10,66.7,13,7,6,0.82,hard,easy
memory_match,0.62,105,46.0,10,1,9,0.98,medium,medium
pattern_recognition,0.79,133,25.9,9,3,6,0.96,easy,medium
object_recognition,0.29,11,104.1,13,4,9,0.65,easy,easy
daily_routine_recall,0.95,200,16.5,4,0,4,1.0,hard,hard
pattern_recognition,0.74,102,54.4,8,2,6,0.93,medium,medium
daily_routine_recall,0.72,107,48.4,7,1,6,0.89,hard,medium
object_recognition,0.52,20,70.5,17,7,10,0.75,easy,easy
pattern_recognition,0.83,187,29.3,9,2,7,1.0,hard,hard
object_recognition,0.76,131,27.0,7,2,5,0.81,hard,medium
object_recognition,0.62,100,50.6,12,3,9,0.89,easy,medium
object_recognition,0.93,200,24.9,4,0,4,1.0,medium,hard
daily_routine_recall,0.6,115,34.7,9,2,7,0.85,hard,medium
daily_routine_recall,0.8,200,14.0,7,0,7,1.0,easy,hard
memory_match,0.89,200,21.3,6,0,6,1.0,hard,hard
pattern_recognition,0.51,20,64.4,15,4,11,0.5,hard,easy
object_recognition,0.63,100,51.0,11,3,8,0.95,hard,medium
memory_match,0.55,22,100.7,17,6,11,0.74,easy,easy
daily_routine_recall,0.37,14,65.3,13,4,9,0.73,medium,easy
pattern_recognition,0.76,127,31.0,11,3,8,0.91,medium,medium
object_recognition,0.89,200,23.6,4,0,4,1.0,hard,hard
object_recognition,0.53,21,95.5,16,5,11,0.64,hard,easy
object_recognition,0.21,10,96.8,16,6,10,0.81,medium,easy
pattern_recognition,0.81,129,30.6,7,2,5,0.92,medium,hard
daily_routine_recall,0.85,200,24.0,7,0,7,1.0,easy,hard
daily_routine_recall,0.61,107,42.5,8,1,7,1.0,easy,medium
memory_match,0.26,10,75.2,15,4,11,0.84,medium,easy
memory_match,0.76,113,44.7,10,2,8,0.96,easy,medium
pattern_recognition,0.22,10,76.2,9,3,6,0.45,hard,easy
pattern_recognition,0.42,16,46.2,15,6,9,0.56,hard,easy
pattern_recognition,0.49,19,106.2,10,3,7,0.64,medium,easy
memory_match,0.54,21,50.4,16,7,9,0.56,medium,easy
daily_routine_recall,0.32,12,108.5,15,4,11,0.71,easy,easy
memory_match,0.51,20,47.7,12,6,6,0.83,easy,easy
pattern_recognition,0.63,99,51.9,7,2,5,0.81,hard,medium
memory_match,0.91,196,27.7,6,1,5,1.0,easy,hard
memory_match,0.44,17,95.9,13,5,8,0.8,hard,easy
daily_routine_recall,0.91,191,30.4,6,0,6,1.0,hard,hard
pattern_recognition,0.22,10,55.7,12,5,7,0.43,hard,easy
daily_routine_recall,0.85,200,14.0,6,1,5,1.0,medium,hard
memory_match,0.67,113,39.1,11,2,9,0.96,medium,medium
memory_match,0.93,200,22.5,5,0,5,1.0,medium,hard
memory_match,0.74,122,35.0,9,2,7,0.93,easy,medium
memory_match,0.64,106,45.4,6,1,5,0.97,easy,medium
daily_routine_recall,0.83,178,34.0,7,0,7,1.0,medium,hard
object_recognition,0.89,200,18.6,7,0,7,1.0,hard,hard
memory_match,0.9,200,23.6,4,0,4,1.0,hard,hard
pattern_recognition,0.7,108,46.8,8,2,6,0.92,medium,medium
object_recognition,0.77,113,44.7,9,3,6,0.98,medium,medium
memory_match,0.65,108,43.7,7,2,5,0.83,medium,medium
daily_routine_recall,0.47,18,104.1,13,4,9,0.57,medium,easy
object_recognition,0.39,15,71.8,13,7,6,0.51,easy,easy
memory_match,0.53,21,73.9,12,3,9,0.67,medium,easy
daily_routine_recall,0.83,200,19.8,7,2,5,1.0,easy,hard
daily_routine_recall,0.53,21,45.6,12,3,9,0.46,hard,easy
object_recognition,0.57,22,74.5,12,5,7,0.43,hard,easy
daily_routine_recall,0.26,10,78.8,13,4,9,0.77,medium,easy
pattern_recognition,0.89,200,16.2,4,0,4,1.0,easy,hard
memory_match,0.85,200,19.0,6,0,6,1.0,medium,hard
daily_routine_recall,0.48,19,88.1,13,7,6,0.78,hard,easy
memory_match,0.96,200,24.6,8,1,7,1.0,hard,hard
daily_routine_recall,0.41,16,47.2,10,4,6,0.64,easy,easy
daily_routine_recall,0.81,133,26.2,10,1,9,0.99,medium,easy
object_recognition,0.32,12,78.0,13,6,7,0.58,easy,easy
memory_match,0.9,197,27.1,4,0,4,1.0,easy,hard
object_recognition,0.74,106,51.0,9,2,7,0.9,medium,medium
daily_routine_recall,0.93,200,13.5,4,0,4,1.0,medium,hard
memory_match,0.25,10,106.1,13,6,7,0.48,easy,easy
memory_match,0.48,19,55.2,18,7,11,0.51,hard,easy
object_recognition,0.93,185,34.5,5,0,5,1.0,medium,hard
daily_routine_recall,0.9,200,25.4,8,1,7,1.0,easy,hard
object_recognition,0.77,129,28.4,10,2,8,0.94,easy,medium
object_recognition,0.84,194,26.5,4,0,4,1.0,hard,hard
pattern_recognition,0.92,200,18.7,7,0,7,1.0,medium,hard
pattern_recognition,0.22,10,108.5,9,3,6,0.79,medium,easy
daily_routine_recall,0.77,116,42.0,10,2,8,0.93,medium,medium
object_recognition,0.77,105,52.8,8,2,6,0.95,hard,medium
object_recognition,0.96,200,20.9,8,1,7,1.0,hard,hard
daily_routine_recall,0.67,108,44.5,6,1,5,0.87,easy,medium
memory_match,0.35,14,90.2,16,6,10,0.6,medium,easy
memory_match,0.85,200,19.3,5,0,5,1.0,medium,hard
object_recognition,0.92,200,14.2,5,0,5,1.0,hard,hard
memory_match,0.38,15,69.7,11,4,7,0.62,medium,easy
pattern_recognition,0.61,114,35.2,7,1,6,0.91,hard,medium
daily_routine_recall,0.65,112,39.3,7,1,6,0.94,easy,medium
pattern_recognition,0.9,190,30.6,7,0,7,1.0,medium,hard
memory_match,0.74,105,51.9,8,1,7,0.88,medium,medium
pattern_recognition,0.27,10,76.1,12,5,7,0.47,medium,easy
memory_match,0.92,200,23.1,4,0,4,1.0,hard,hard
daily_routine_recall,0.96,200,23.5,7,0,7,1.0,medium,hard
pattern_recognition,0.47,18,71.0,16,7,9,0.77,easy,easy
pattern_recognition,0.9,200,13.1,7,1,6,1.0,easy,hard
memory_match,0.91,196,27.7,5,0,5,1.0,easy,hard
object_recognition,0.84,181,32.9,5,0,5,1.0,hard,hard
daily_routine_recall,0.78,117,41.5,7,1,6,0.82,hard,hard
memory_match,0.6,105,44.1,10,2,8,0.85,medium,medium
daily_routine_recall,0.28,11,84.7,10,4,6,0.78,hard,easy
memory_match,0.8,124,35.6,10,1,9,0.86,medium,hard
memory_match,0.76,107,50.5,7,2,5,0.82,medium,medium
memory_match,0.92,200,21.3,6,0,6,1.0,hard,hard
object_recognition,0.85,184,31.7,4,0,4,1.0,hard,hard
memory_match,0.82,200,10.6,7,0,7,1.0,medium,hard
daily_routine_recall,0.65,107,44.1,10,1,9,0.92,hard,medium
memory_match,0.39,15,109.2,15,5,10,0.7,medium,easy
daily_routine_recall,0.37,14,74.0,9,3,6,0.41,hard,easy
pattern_recognition,0.33,13,98.2,13,6,7,0.55,easy,easy
object_recognition,0.98,199,29.3,4,0,4,1.0,hard,hard
daily_routine_recall,0.8,129,30.8,8,1,7,0.87,medium,hard
daily_routine_recall,0.92,200,21.1,8,1,7,1.0,hard,hard
daily_routine_recall,0.78,127,32.0,8,2,6,0.94,easy,hard
object_recognition,0.65,113,38.7,7,1,6,1.0,medium,medium
pattern_recognition,0.45,18,81.3,15,4,11,0.55,medium,easy
pattern_recognition,0.73,128,27.7,12,3,9,0.94,medium,medium
object_recognition,0.84,200,23.4,4,0,4,1.0,easy,hard
memory_match,0.96,200,10.0,7,0,7,1.0,medium,hard
daily_routine_recall,0.96,189,33.2,7,0,7,1.0,easy,hard
memory_match,0.99,200,10.5,8,1,7,1.0,hard,hard
daily_routine_recall,0.72,105,50.3,8,2,6,0.96,easy,medium
pattern_recognition,0.79,115,43.3,10,2,8,0.94,medium,hard
pattern_recognition,0.21,10,64.7,14,4,10,0.56,easy,easy
memory_match,0.82,178,33.4,6,0,6,1.0,hard,hard
memory_match,0.78,125,33.4,9,3,6,0.9,hard,medium
pattern_recognition,0.8,120,39.9,12,3,9,0.88,hard,medium
pattern_recognition,0.9,200,19.9,4,0,4,1.0,hard,hard
pattern_recognition,0.68,102,51.3,10,3,7,0.96,hard,medium
daily_routine_recall,0.86,200,12.0,5,0,5,1.0,hard,hard
object_recognition,0.63,119,31.7,9,3,6,0.93,hard,medium
object_recognition,0.96,200,13.3,8,1,7,1.0,easy,hard
object_recognition,0.73,126,29.2,12,3,9,0.86,easy,medium
object_recognition,0.81,110,49.8,8,2,6,0.81,medium,medium
object_recognition,0.21,10,53.8,16,6,10,0.65,easy,easy
pattern_recognition,0.57,22,73.1,18,7,11,0.79,medium,easy
daily_routine_recall,0.31,12,100.3,15,7,8,0.68,hard,easy
memory_match,0.45,18,54.9,15,5,10,0.75,medium,easy
daily_routine_recall,0.89,200,11.5,6,2,4,1.0,medium,hard
object_recognition,0.44,17,64.3,11,5,6,0.46,easy,easy
daily_routine_recall,0.63,116,34.1,9,1,8,0.92,easy,medium
daily_routine_recall,0.74,125,31.9,9,1,8,0.86,easy,medium
daily_routine_recall,0.44,17,79.3,14,4,10,0.8,easy,easy
memory_match,0.89,200,14.9,7,0,7,1.0,hard,hard
pattern_recognition,0.38,15,56.5,18,7,11,0.83,easy,easy
object_recognition,0.29,11,53.7,18,7,11,0.76,hard,easy
object_recognition,0.92,199,27.0,4,0,4,1.0,medium,easy
memory_match,0.28,11,45.8,14,4,10,0.84,medium,easy
object_recognition,0.78,105,53.8,9,2,7,0.85,easy,medium
memory_match,0.45,18,77.5,14,7,7,0.46,easy,easy
object_recognition,0.53,21,60.8,12,4,8,0.57,easy,easy
object_recognition,0.88,200,21.5,5,1,4,1.0,hard,hard
pattern_recognition,0.25,10,51.6,9,3,6,0.71,hard,easy
memory_match,0.7,122,32.6,9,3,6,0.85,hard,medium
